,Year,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Intensity,Total Deaths,Natural Disaster
2,1922.0,2.0,1.0,6.3,0.0,PHILIPPINES,CEBU ISLAND,10.2,124.1,0.7,3.0,0.0,5.0,Earthquake
3,1922.0,4.0,1.0,8.7,0.0,CHILE,NORTHERN CHILE,-28.553,-70.755,9.0,36.0,2.5,700.0,Earthquake
5,1923.0,4.0,1.0,7.2,1.0,RUSSIA,KAMCHATKA,56.5,162.5,20.0,11.0,3.5,18.0,Earthquake
7,1923.0,4.0,1.0,7.9,1.0,JAPAN,SAGAMI BAY,35.1,139.5,13.0,140.0,3.0,142807.0,Earthquake
12,1927.0,4.0,1.0,6.8,0.0,UKRAINE,"CRIMEA, BLACK SEA",44.4,34.5,1.0,1.0,2.0,11.0,Earthquake
14,1927.0,3.0,1.0,6.3,0.0,INDONESIA,SULAWESI,-0.7,119.7,15.0,2.0,3.0,50.0,Earthquake
15,1928.0,3.0,1.0,6.0,0.0,GREECE,CORINTHOS-PATRAS GULF,38.0,23.0,0.6,7.0,3.0,20.0,Earthquake
17,1928.0,4.0,1.0,7.7,0.0,MEXICO,S. MEXICO,16.028,-97.036,0.2,10.0,1.0,4.0,Earthquake
18,1928.0,3.0,1.0,7.6,0.0,CHILE,CENTRAL CHILE,-35.0,-72.0,1.5,2.0,0.5,279.0,Earthquake
20,1930.0,4.0,1.0,6.5,0.0,PAPUA NEW GUINEA,BISMARCK SEA,-1.3,144.3,12.0,29.0,1.5,27.0,Earthquake
24,1931.0,4.0,1.0,7.8,0.0,SOLOMON ISLANDS,SAN CRISTOBAL ISLAND,-10.932,161.016,9.0,13.0,2.5,50.0,Earthquake
25,1932.0,4.0,1.0,8.1,1.0,MEXICO,CENTRAL MEXICO,19.623,-103.919,10.0,19.0,2.0,400.0,Earthquake
27,1932.0,4.0,1.0,7.7,1.0,MEXICO,CENTRAL MEXICO,19.242,-104.383,10.0,6.0,1.5,75.0,Earthquake
28,1932.0,1.0,1.0,6.9,0.0,GREECE,NORTH AEGEAN,40.5,23.9,2.0,2.0,3.0,161.0,Earthquake
29,1933.0,4.0,1.0,8.4,2.0,JAPAN,SANRIKU,39.224,144.622,29.0,294.0,3.5,3022.0,Earthquake
30,1933.0,1.0,1.0,6.4,0.0,GREECE,"COS, DODECANESE",36.759,27.299,2.0,1.0,2.0,181.0,Earthquake
34,1936.0,4.0,1.0,7.3,0.0,CHILE,NORTHERN CHILE,-24.5,-70.0,1.0,3.0,0.5,1.0,Earthquake
39,1938.0,4.0,1.0,7.7,0.0,JAPAN,SANRIKU,37.1,141.7,0.57,17.0,-0.5,1.0,Earthquake
46,1939.0,4.0,1.0,6.6,0.0,JAPAN,SEIKAIDO,32.3,132.0,0.8,4.0,0.0,1.0,Earthquake
47,1939.0,3.0,1.0,7.9,0.0,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.295,159.234,10.5,8.0,1.5,12.0,Earthquake
48,1939.0,4.0,1.0,7.0,0.0,JAPAN,NW. HONSHU ISLAND,40.1,139.5,1.2,25.0,0.0,27.0,Earthquake
