Year,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Intensity,Total Deaths,Natural Disaster
1921.0,2.0,1.0,6.2,0.0,INDONESIA,MAKASSAR STRAIT,0.7,117.9,1.0,1.0,0.5,,Earthquake
1921.0,4.0,1.0,7.5,0.0,INDONESIA,JAVA,-11.0,111.0,0.1,3.0,-2.0,,Earthquake
1922.0,2.0,1.0,6.3,0.0,PHILIPPINES,CEBU ISLAND,10.2,124.1,0.7,3.0,0.0,5.0,Earthquake
1922.0,4.0,1.0,8.7,0.0,CHILE,NORTHERN CHILE,-28.553,-70.755,9.0,36.0,2.5,700.0,Earthquake
1922.0,3.0,1.0,6.3,0.0,NEW ZEALAND,SE. NEW ZEALAND,-43.0,173.0,0.4,3.0,0.0,,Earthquake
1923.0,4.0,1.0,7.2,1.0,RUSSIA,KAMCHATKA,56.5,162.5,20.0,11.0,3.5,18.0,Earthquake
1923.0,4.0,1.0,7.3,0.0,JAPAN,"KASHIMA, JAPAN",35.4,141.8,0.4,1.0,-1.5,,Earthquake
1923.0,4.0,1.0,7.9,1.0,JAPAN,SAGAMI BAY,35.1,139.5,13.0,140.0,3.0,142807.0,Earthquake
1923.0,4.0,1.0,7.7,0.0,JAPAN,RYUKYU ISLANDS,34.9,140.2,0.3,6.0,-1.5,,Earthquake
1925.0,1.0,1.0,7.0,0.0,MEXICO,S. MEXICO,18.5,-107.0,11.0,1.0,3.0,,Earthquake
1926.0,4.0,1.0,6.9,0.0,SOLOMON ISLANDS,SOLOMON ISLANDS,-9.674,159.519,2.0,3.0,1.5,,Earthquake
1927.0,4.0,1.0,6.0,0.0,UKRAINE,"CRIMEA, BLACK SEA",44.4,34.4,0.7,0.0,2.0,,Earthquake
1927.0,4.0,1.0,6.8,0.0,UKRAINE,"CRIMEA, BLACK SEA",44.4,34.5,1.0,1.0,2.0,11.0,Earthquake
1927.0,4.0,1.0,7.3,0.0,USA,S. CALIFORNIA,34.813,-120.774,1.8,8.0,1.0,,Earthquake
1927.0,3.0,1.0,6.3,0.0,INDONESIA,SULAWESI,-0.7,119.7,15.0,2.0,3.0,50.0,Earthquake
